Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
134357.63552383106,27.993,195.45586,-279.54034,-401.92596,-188.21774,634.1599,-2.783019,0.0
134357.63885736768,24.983,187.01462,-287.68094,-404.93597,-192.42891,628.4343,-10.318904,0.0
134357.64219090433,22.575,182.79622,-294.31412,-409.44995,-191.83398,637.49194,-0.95960283,0.0
134357.64552444094,21.07,184.00682,-296.72452,-408.54813,-192.13782,638.40076,1.7595567,0.0
134357.64885797756,22.876,187.01976,-291.59872,-401.32678,-187.62918,641.11194,7.7897162,0.0
134357.65219151418,15.953,174.06207,-306.3685,-417.5762,-200.85832,633.58545,-8.48678,0.0
134357.65552505082,23.478,181.88881,-299.7489,-408.2461,-195.43538,638.99835,-4.280762,0.0
134357.65885858744,0.0,164.74724,-316.88913,-430.21982,-217.41191,612.8049,-24.43978,0.0
134357.66219212406,9.331,178.60426,-305.14374,-420.88882,-208.08092,610.6703,-23.557098,0.0
134357.66552566068,10.836,185.84222,-308.46753,-422.0915,-207.77708,626.6581,-7.2675405,0.0
134357.66885919732,14.147,185.23067,-305.4583,-411.56003,-201.16286,622.72766,-8.784151,0.0
134357.67219273394,18.361,187.63426,-303.0551,-407.04517,-199.65149,633.8814,-4.268426,0.0
134357.67552627056,10.836,176.79018,-314.5035,-413.96848,-207.77708,627.5633,-4.2502837,0.0
134357.67885980717,10.535,176.18744,-313.5973,-411.26096,-208.97896,613.3829,-18.732391,0.0
134357.68219334382,32.508,195.44482,-298.56567,-397.11014,-182.20128,645.61456,4.1457863,0.0
134357.68552688044,17.157,179.49036,-318.14188,-413.36368,-194.84964,630.5653,-3.9637973,0.0
134357.68886041705,6.321,169.25783,-329.88327,-425.4031,-199.07921,630.59143,-13.89462,0.0
134357.6921939537,23.779,193.65573,-301.2587,-409.7502,-186.1256,634.4718,2.6582026,0.0
134357.69552749032,17.157,187.63719,-310.5969,-409.75345,-193.94876,625.436,-10.601763,0.0
134357.69886102693,16.254,182.20818,-316.93228,-417.57608,-196.05293,618.8002,-14.522019,0.0
134357.70219456355,9.632,181.31914,-323.5543,-422.0921,-205.67786,611.5747,-32.30787,0.0
134357.7055281002,24.682,194.25699,-312.42767,-408.2455,-193.93108,628.43506,-3.378488,0.0
134357.7088616368,19.565,185.51918,-315.73386,-413.06165,-195.14427,632.3699,-18.15071,0.0
134357.71219517343,22.575,196.07254,-310.0077,-410.65335,-194.23633,626.9315,-2.4682312,0.0
134357.71552871005,6.923,171.97197,-329.58307,-432.92413,-212.29066,605.245,-34.715145,0.0
134357.7188622467,10.535,182.52386,-318.72787,-420.88824,-209.87984,609.46045,-19.637568,0.0
134357.7221957833,16.555,186.43173,-317.83847,-414.56738,-203.85983,619.70465,-12.4106655,0.0
134357.72552931993,28.294,192.7395,-311.53186,-404.6335,-187.01587,638.3833,-0.36993936,0.0
134357.72886285654,25.284,188.22083,-309.71307,-401.3256,-197.23288,611.537,-10.31963,0.0
134357.7321963932,17.759,179.79062,-319.04886,-410.6557,-201.45467,616.081,-20.861887,0.0
134357.7355299298,24.682,184.29974,-314.84207,-403.43185,-190.92816,621.7971,-15.145789,0.0
134357.73886346642,18.06,179.48816,-321.16226,-408.85043,-196.64928,627.24414,-12.716019,0.0
134357.74219700307,17.759,185.82532,-317.23807,-410.35486,-194.54793,619.09827,-8.79286,0.0
134357.7455305397,9.632,174.68097,-326.27048,-416.67673,-203.27551,615.7989,-32.609596,0.0
134357.7488640763,20.769,188.53358,-321.47125,-399.82355,-186.43295,629.3497,8.096521,0.0
134357.75219761292,-7.224,159.33365,-345.54086,-431.42676,-216.22772,607.9946,-33.474133,0.0
134357.75553114957,2.107,170.7768,-335.90805,-415.17615,-205.39525,609.1791,-22.936232,0.0
134357.75886468618,9.03,174.3807,-328.07965,-415.47363,-194.56845,626.3607,-12.995975,0.0
134357.7621982228,-5.418,169.28648,-334.9827,-426.9131,-207.81528,598.3351,-28.349152,0.0
134357.76553175942,8.127,187.05577,-320.83408,-415.47406,-195.77174,615.5008,-7.562735,0.0
134357.76886529606,16.254,190.05328,-315.42328,-404.33853,-187.34445,632.0761,0.86599046,0.0
134357.77219883268,-6.321,170.49564,-329.8497,-427.51523,-209.61916,599.8459,-15.976222,0.0
134357.7755323693,4.214,178.01328,-322.6345,-415.1751,-198.18327,607.36365,-9.363655,0.0
134357.77886590592,14.448,181.00565,-315.4185,-404.64026,-192.75395,622.727,-1.8451866,0.0
134357.78219944256,15.351,184.32253,-323.56946,-413.06372,-195.75476,622.12134,-0.9421866,0.0
134357.78553297918,15.351,183.11559,-325.98386,-416.07224,-197.85681,623.62994,-10.597408,0.0
134357.7888665158,9.632,177.39659,-330.19385,-422.6938,-201.17348,619.4196,-14.80778,0.0
134357.79220005244,11.438,187.34943,-325.06805,-414.26904,-199.66777,624.8463,-10.286249,0.0
134357.79553358906,14.448,183.41953,-318.13467,-410.9582,-196.65776,623.0287,-10.896956,0.0
134357.79886712568,28.896,202.69528,-302.4795,-393.50165,-181.30888,645.32153,5.9648485,0.0
134357.8022006623,21.371,197.28242,-312.72067,-403.13263,-190.03505,637.4948,7.7933445,0.0
