Timestamp,Channel_1
135452.86917491903,4
135455.93612912847,5
135462.7184985493,4
135465.75053305866,5
135473.55401758262,0
135476.54802149182,1
135483.0811066119,2
135486.18008602143,3
135494.53516944713,0
135497.5224713563,1
135505.00216277927,2
135508.00601228853,3
135516.23790001383,0
135519.11009952263,1
135525.84396294336,6
135528.79305285242,7
135536.61935297647,0
135539.5882359856,1
135546.73440050756,6
135549.70061731667,7
135557.20104513972,2
135560.18848974892,3
135568.53418517456,4
135571.35867648327,5
135577.96440460355,6
135580.8429669124,7
135587.8371572339,2
135590.8276828431,3
135598.61831296707,6
135601.64955677636,7
135608.86099419853,2
135611.942339708,3
135619.1394732301,0
135622.1918673395,1
135630.50264596505,6
135633.48715997423,7
135640.6055921961,4
135643.53859260512,5
135651.4295540294,4
135654.40217673854,5
