Timestamp,Channel_1
138065.78024929194,6
138068.66096050138,7
138076.41011982688,2
138079.28542733635,3
138086.13743245887,6
138089.12451376868,7
138095.93138609105,6
138098.86660980072,7
138106.30064222516,2
138109.17587953462,3
138116.22764255782,4
138119.19718926758,5
138126.8644354928,2
138129.76096680234,3
138137.42729262752,0
138140.52501273772,1
138148.0275258624,4
138150.87747277177,5
138158.7604162977,2
138161.84598840782,3
138169.6149147334,4
138172.53625114297,5
138180.34232946867,0
138183.3052461784,1
138190.184432701,4
138193.21223411098,5
138200.26299413416,2
138203.2945380441,3
138210.21427846688,0
138213.21406367674,1
138221.04466350251,6
138224.1503353127,7
138231.66209673742,0
138234.72983654749,1
138242.64386317355,6
138245.65958388345,7
138253.92276951062,4
138256.99157752073,5
138264.7344478462,0
138267.65003245577,1
138291.18300533315,0
138294.1476210429,1
138301.3279836665,2
138304.3004887763,3
138312.2730699025,2
138315.20150621215,3
138322.16374363503,4
138325.0790261446,5
138333.10923407102,6
138336.10683008088,7
138343.05422290374,2
138346.0259260135,3
138353.3586403376,2
138356.37611704753,3
138363.20593427,4
138366.09446367947,5
138374.1264835059,0
138377.22341541608,1
138385.42327494305,6
138388.25341265235,7
138394.84189707405,6
138397.66727078333,7
138404.70841880646,2
138407.70843361632,3
138415.46529544186,6
138418.56793125204,7
138425.82963267594,0
138428.65578618523,1
138436.62845661145,6
138439.51630762094,7
138446.11925504266,4
138449.16934355267,5
138456.32548067623,4
138459.41751048638,5
138466.22237850877,4
138469.26359711878,5
138475.78554304023,0
138478.63362164958,1
138486.06448447402,0
138489.1616735842,1
138545.88179057074,0
138548.74028788012,1
138555.2993463017,4
138558.20440221124,5
138565.3658483348,4
138568.2584328443,5
138575.23887806726,6
138578.13143577677,7
138586.3168238037,0
138589.4182351139,1
138597.55930454066,2
138600.4890399503,3
138607.58934387364,4
138610.57599198347,5
138617.5169404063,0
138620.59142191638,1
138627.90445264048,2
138630.89156505026,3
138638.11042487403,2
138640.98150218345,3
138647.57076670515,0
138650.45900071462,1
138658.95206634255,6
138662.0392887527,7
138669.86706117843,4
138672.76156508797,5
138680.95798121492,4
138683.92325512465,5
138690.5578610465,0
138693.67153465672,1
138700.18818637816,6
138703.183021388,7
138711.15767251424,2
138714.11654222396,3
138721.02991204668,6
138723.9619387563,7
138732.00550818277,2
138735.03415449275,3
138741.81294531503,6
138744.81998482492,7
138779.8776455402,2
138782.77747404974,3
138790.1259366739,6
138792.99934328336,7
138799.90133110606,6
138802.9814234162,7
138810.88919584217,4
138813.7201355515,5
138822.19804217937,6
138825.11661188898,7
138832.8830657145,0
138835.9783413247,1
138844.08253875136,2
138847.1067168613,3
138855.53058608898,2
138858.55224029894,3
138866.5975453254,0
138869.45024103476,1
138876.2333758571,4
138879.1903980668,5
138886.09422348952,4
138889.0090807991,5
138895.80880432142,4
138898.65281793082,5
138905.96057885484,6
138908.96984796473,7
138916.02721468793,0
138919.05362909788,1
138926.2326332215,2
138929.20879483127,3
138936.3534645548,0
138939.46810626503,1
138947.03840398992,4
138949.82781989907,5
138957.7716038252,2
138960.89288783548,3
138969.0199189622,6
138971.96504587188,7
138979.0865659953,0
138982.02593310497,1
