Timestamp,Channel_1
320650.14320766827,6
320652.15338836866,8
320655.2041889692,9
320658.21303986985,7
320659.05011666997,0
320661.05669377034,8
320663.88712987094,9
320666.8916393715,1
320667.4476707716,0
320669.45573517197,8
320672.47315687255,9
320675.4797430731,1
320676.3208761733,4
320678.3302604737,8
320681.2068547743,9
320684.21275807486,5
320684.969497975,2
320686.9767142754,8
320690.042403076,9
320693.0489594766,3
320693.5704406767,2
320695.5765338771,8
320698.6982446777,9
320701.7034593783,3
320702.2120199784,2
320704.2184319787,8
320707.0503387793,9
320710.0548544799,3
320710.64269978,4
320712.64887798036,8
320715.64132628095,9
320718.64874138153,5
320719.4779130817,6
320721.4853629821,8
320724.36585808266,9
320727.36945348326,7
320728.1529321834,4
320730.1577347838,8
320733.27465628437,9
320736.27885438496,5
320736.9256265851,2
320738.93344208546,8
320741.8997975861,9
320744.90886068664,3
320745.4859937868,6
320747.4907271872,8
320750.51461208775,9
320753.5205564883,7
320754.11948508845,0
320756.12707408884,8
320759.06778428936,9
320762.07199828996,1
320762.72470349015,2
320764.7340994905,8
320767.5460036911,9
320770.55080159166,3
320771.3106573918,0
320773.32045139215,8
320776.1610334927,9
320779.16881839326,1
320779.6715586934,4
320781.6784131938,8
320784.60644029436,9
320787.61101999495,5
320788.4478149951,0
320790.4539889955,8
320793.3841701961,9
320796.39317169663,1
320797.10170259676,4
320799.1083931972,8
320802.20510219777,9
320805.21056099836,5
320805.72737569845,6
320807.73178779887,8
320810.5573827994,9
320813.56225769996,7
320814.1195805001,6
320816.1260468005,8
320819.1884764011,9
320822.1937451017,7
320841.8284328054,2
320843.83458230586,8
320846.75912670646,9
320849.767530007,3
320850.33780920715,0
320852.3436325075,8
320855.38871940813,9
320858.3976613087,1
320859.02187830885,2
320861.02860780916,8
320863.85180980974,9
320866.8579469103,3
320867.38263411046,0
320869.3929806108,8
320872.2077526114,9
320875.216278312,1
320875.88955651206,6
320877.8950965125,8
320880.9789299131,9
320883.98557361367,7
320884.6736558138,6
320886.68238851416,8
320889.77287541475,9
320892.7789348153,7
320893.4563977155,0
320895.4643693159,8
320898.49137491646,9
320901.49998441705,1
320902.05180261715,4
320904.05817141756,8
320907.02283331816,9
320910.0276839187,5
320910.56255141884,4
320912.5668473192,8
320915.4436591198,9
320918.4514141203,5
320919.28267042054,6
320921.2880651209,8
320924.13813032146,9
320927.14188542205,7
320927.9018887222,4
320929.90570162254,8
320932.9559407231,9
320935.9600711237,5
320936.5538336238,6
320938.5619129242,8
320941.4897675248,9
320944.4946540254,7
320945.03350972553,4
320947.04212152585,8
320950.0779167265,9
320953.0871406271,5
320953.84453652723,2
320955.85130892764,8
320958.8655279282,9
320961.8687831288,3
320962.5352386289,6
320964.5423854293,8
320967.56729372987,9
320970.57202733046,7
320971.3544145306,0
320973.359948031,8
320976.4226884316,9
320979.4260327322,1
320980.0098375323,4
320982.0141476327,8
320984.94711713324,9
320987.95325013384,5
320988.50780673395,2
320990.5172192343,8
320993.53761453496,9
320996.54064403556,3
320997.19026393566,0
320999.195445036,8
321002.0969479366,9
321005.1043137372,1
321005.7843225373,2
321007.7891822377,8
321010.8215250383,9
321013.8259003389,3
321166.7752878686,0
321168.7811664689,8
321171.61085566954,9
321174.6184309701,1
321175.29727227025,0
321177.3032204706,8
321180.3755452712,9
321183.3800553718,1
321183.88646467193,6
321185.8958286723,8
321188.95014617284,9
321191.95623577345,7
321192.48069287353,4
321194.48979927396,8
321197.45099887456,9
321200.4589853751,5
321200.98003257526,4
321202.9862059756,8
321205.91103607614,9
321208.91983027675,5
321209.7388271769,4
321211.74390357727,8
321214.64078037784,9
321217.64670747845,5
321218.15714827855,2
321220.161845379,8
321223.25570037955,9
321226.26429218013,3
321226.9216708802,6
321228.93143248063,8
321231.7827156812,9
321234.79216738173,7
321235.4310664819,2
321237.44015388226,8
321240.4155678829,9
321243.42210288346,3
321244.23185108363,2
321246.24026728404,8
321249.2532984846,9
321252.2580855852,3
321252.9966930853,0
321255.0030915857,8
321258.1224639863,9
321261.1306630869,1
321261.92005328706,6
321263.9248555875,8
321266.775000588,9
321269.77900318854,7
321270.28418718866,6
321272.288468589,8
321275.40320388967,9
321278.40926839027,7
321279.04726749036,2
321281.0516293908,8
321284.1060107914,9
321287.11189729196,3
321287.8308455921,4
321289.8396511925,8
321292.80030209303,9
321295.80874589365,5
321296.48450749373,6
321298.49387259415,8
321301.5970614947,9
321304.6025876953,7
321305.22829599545,4
321307.23317149584,8
321310.28532979643,9
321313.293608397,5
321314.1425736972,0
321316.1484073976,8
321319.11312149814,9
321322.11722089874,1
321322.85560199886,2
321324.86299319926,8
321327.94087979983,9
321330.94762040046,3
321331.59057380055,0
321333.597198001,8
321336.64054820157,9
321339.64432400215,1
321353.9775355049,0
321355.9840186053,8
321358.9734496059,9
321361.9774784065,1
321362.7110549066,2
321364.71688480704,8
321367.8136613076,9
321370.8196205082,3
321371.62667210837,0
321373.63229550875,8
321376.70773930935,9
321379.71639520995,1
321380.24416641006,4
321382.2506161104,8
321385.34732561104,9
321388.3534147116,5
321389.16900591174,0
321391.1773961121,8
321394.2060232127,9
321397.2131692133,1
321397.94405311346,6
321399.9543798138,8
321402.9370155144,9
321405.941631315,7
321406.78276831517,2
321408.7887012156,8
321411.81066101615,9
321414.81951511675,3
321415.3944540169,2
321417.40076331724,8
321420.3102064178,9
321423.31582861836,3
321424.03167751856,4
321426.0370727189,8
321428.87139271945,9
321431.87923952006,5
321432.64997802017,0
321434.6553133206,8
321437.75817222125,9
321440.7635441218,1
321441.53202952194,2
321443.5400135223,8
321446.38226552284,9
321449.38845962344,3
321450.1963053236,2
321452.200269424,8
321455.3179694246,9
321458.32135322515,3
321459.0285750253,4
321461.0365837257,8
321464.15054612636,9
321467.1573394269,5
