Timestamp,Channel_1
317375.6192571167,2
317377.7159957173,8
317380.6048435182,9
317383.61246611906,3
317384.2231544193,2
317386.23102781986,8
317389.3363634208,9
317392.34586702177,3
317392.90391032194,6
317394.9113502225,8
317397.7890901234,9
317400.79417992424,7
317401.53943062446,0
317403.5457780251,8
317406.3725250259,9
317409.38204412686,1
317410.028699027,2
317412.0365744276,8
317415.06586492853,9
317418.0722901295,3
317418.8614959297,6
317420.8664008303,8
317423.80637853115,9
317426.8114879321,7
317427.3632727323,2
317429.36974993284,8
317432.43203533377,9
317435.43560543464,3
317436.1310129349,6
317438.13922723546,8
317441.2247070364,9
317444.22994533734,7
317444.8989705375,6
317446.90875243815,8
317449.82608113904,9
317452.8294850399,7
317453.6092775401,4
317455.61780154076,8
317458.62053074164,9
317461.6294696426,5
317462.1316632427,0
317464.13864874333,8
317467.20991524425,9
317470.21679024515,1
317470.94610924536,0
317472.9504345459,8
317476.0781680469,9
317479.0838322478,1
317479.89721874805,2
317481.9042338487,8
317484.7769622495,9
317487.78031515045,3
317488.4013692506,4
317490.4113516512,8
317493.3742978521,9
317496.380363953,5
317497.01455315325,6
317499.0227763538,8
317502.08051735477,9
317505.0904644556,7
317505.70986375585,4
317507.71988695645,8
317510.6240566573,9
317513.6288517582,5
317514.41619805846,0
317516.42253865907,8
317519.46026705997,9
317522.46467646083,1
317523.1603901611,4
317525.16763486166,8
317528.05022156256,9
317531.0586447635,5
317531.74391816364,4
317533.7495495642,8
317536.5759680651,9
317539.58104426606,5
317540.3212275662,0
317542.3254117668,8
317545.19323176774,9
317548.1985438686,1
317569.56492807507,0
317571.57334297564,8
317574.5321090765,9
317577.5364264774,1
317578.1469175776,0
317580.1545853782,8
317583.16016977915,9
317586.16690958,1
317586.8635506802,6
317588.87005908083,8
317591.82107558177,9
317594.82723508263,7
317595.6671800829,6
317597.6758650835,8
317600.6278323844,9
317603.6331211853,7
317604.2990519855,4
317606.3065284861,8
317609.15708778694,9
317612.1664170879,5
317612.9174497881,4
317614.92398618866,8
317618.0182104896,9
317621.0263591905,5
317621.52957269066,2
317623.5358669913,8
317626.6121395922,9
317629.6204797931,3
317630.2432243933,4
317632.2509830939,8
317635.2827135948,9
317638.2870031957,5
317638.8227637959,6
317640.8329071965,8
317643.67141459737,9
317646.6745979982,7
317647.36286319845,2
317649.37225159904,8
317652.2665736999,9
317655.27518500085,3
317655.902231301,0
317657.9113533016,8
317660.9643863025,9
317663.9713468034,1
317664.7826680037,6
317666.7900153043,8
317669.72960150515,9
317672.73511800607,7
317673.2867372063,6
317675.29286880686,8
317678.2265215077,9
317681.23169900867,7
317681.9867285089,0
317683.99580660946,8
317687.0840640104,9
317690.09228531126,1
317690.6991312115,2
317692.7045759121,8
317695.742690013,9
317698.74760941387,3
317699.4047035141,0
317701.4135903147,8
317704.37286891555,9
317707.3767270165,1
317707.92892351665,4
317709.9349303173,8
317712.88853841816,9
